ori_lng_84,ori_lat_84,des_lng_84,des_lat_84,route_dis,euclidean_dis,turn,cross road,geometry
118.7973432,32.08333732,118.7977798,32.0837093,528,58.31575074,4,1,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7961418331668 32.08415906398297, 118.7954861608249 32.08457899333546, 118.7954115072895 32.0846339206607, 118.7955933889879 32.08486078125003, 118.7955933889879 32.08486078125003, 118.7957085253421 32.0848021376525, 118.7958686234322 32.08470536638941, 118.7961600161572 32.08451640878498, 118.796637540915 32.08421719650099, 118.7973910387717 32.08373337526607, 118.7973910387717 32.08373337526607, 118.7975107239975 32.0838700516026, 118.7975476181668 32.08391075537592, 118.7975476181668 32.08391075537592, 118.7978254402471 32.08378113233584, 118.797779539936 32.08370901016441, 118.7977798446982 32.0837093016121)"
118.7973432,32.08333732,118.8015435,32.08200924,985,422.9923441,5,1,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7961418331668 32.08415906398297, 118.7954861608249 32.08457899333546, 118.7954115072895 32.0846339206607, 118.7955933889879 32.08486078125003, 118.7955933889879 32.08486078125003, 118.7957085253421 32.0848021376525, 118.7958686234322 32.08470536638941, 118.7961600161572 32.08451640878498, 118.796637540915 32.08421719650099, 118.7973910387717 32.08373337526607, 118.797516909635 32.083653559217, 118.7975402843113 32.08363682524715, 118.7975546661875 32.08362158406957, 118.7975672474158 32.08360251008096, 118.7975977955478 32.08354372825391, 118.7980796673855 32.08325210075608, 118.7985417119836 32.08297207451758, 118.798875173934 32.08275351262778, 118.799010920115 32.08273284661744, 118.7990423822536 32.08272460856305, 118.7990648542984 32.08271708536267, 118.799085526441 32.08270572696794, 118.7993560517385 32.08255429086964, 118.7995690440226 32.0824324067827, 118.7996328513385 32.08239913939396, 118.8003041107965 32.08202559471415, 118.8003041107965 32.08202559471415, 118.8004560862783 32.08222939835218, 118.8004560862783 32.08222939835218, 118.8005657086676 32.08218273967678, 118.8006303994476 32.08214800946719, 118.8008882475055 32.08199228983401, 118.800925081915 32.08197037720679, 118.8010328927529 32.08191686790927, 118.8015117227183 32.08168189909417, 118.8015117227183 32.08168189909417, 118.8016771560708 32.08194872270017, 118.8015433079036 32.08200884229689, 118.8015435089162 32.08200923901297)"
118.7973432,32.08333732,118.8009424,32.08225765,909,360.260391,4,2,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7961418331668 32.08415906398297, 118.7954861608249 32.08457899333546, 118.7954115072895 32.0846339206607, 118.7955933889879 32.08486078125003, 118.7955933889879 32.08486078125003, 118.7957085253421 32.0848021376525, 118.7958686234322 32.08470536638941, 118.7961600161572 32.08451640878498, 118.796637540915 32.08421719650099, 118.7973910387717 32.08373337526607, 118.797516909635 32.083653559217, 118.7975402843113 32.08363682524715, 118.7975546661875 32.08362158406957, 118.7975672474158 32.08360251008096, 118.7975977955478 32.08354372825391, 118.7980796673855 32.08325210075608, 118.7985417119836 32.08297207451758, 118.798875173934 32.08275351262778, 118.799010920115 32.08273284661744, 118.7990423822536 32.08272460856305, 118.7990648542984 32.08271708536267, 118.799085526441 32.08270572696794, 118.7993560517385 32.08255429086964, 118.7995690440226 32.0824324067827, 118.7996328513385 32.08239913939396, 118.8003041107965 32.08202559471415, 118.8003041107965 32.08202559471415, 118.8004560862783 32.08222939835218, 118.8005657086676 32.08218273967678, 118.8006303994476 32.08214800946719, 118.8008882475055 32.08199228983401, 118.8008882475055 32.08199228983401, 118.801022213473 32.08215855241976, 118.8009422802228 32.08225741103993, 118.8009424475789 32.08225765492948)"
118.7973432,32.08333732,118.8026176,32.08190639,986,522.5944923,4,1,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7974331317529 32.08337701842193, 118.7984283475227 32.08281771221404, 118.7984669997125 32.08279342627067, 118.7985829535857 32.08271904703019, 118.7986836247019 32.08265531067091, 118.7988804649303 32.08252784280573, 118.7990027028984 32.0824566060246, 118.7994691590125 32.08219614958487, 118.7996264280039 32.08210148288943, 118.8000460916226 32.08186471348571, 118.8001898663341 32.08178763948784, 118.8003992258283 32.08166513590586, 118.8009221408194 32.08137741811503, 118.8011350606538 32.08125355751287, 118.8012913754399 32.08116295898393, 118.8017252614632 32.08092544067271, 118.801837542914 32.08086057352511, 118.8020944349661 32.0807181446952, 118.8026539790493 32.08040557709636, 118.8030060169143 32.08020608645751, 118.8032287233869 32.08008579138465, 118.8033535398724 32.08001125498219, 118.803414600625 32.0799766566479, 118.8035026001913 32.07993161573673, 118.8036257107714 32.0801485878687, 118.8036257107714 32.0801485878687, 118.8035610587022 32.08017701843018, 118.8033832640038 32.0802640201964, 118.8033536318843 32.0802813285453, 118.8031713493819 32.08039892377156, 118.803057312722 32.08048811912581, 118.8030240883209 32.08051228806116, 118.8029064485781 32.08058233812179, 118.8028768138502 32.08060042432583, 118.802768147714 32.0806560361036, 118.8025292587657 32.08079387620019, 118.8023622090104 32.08089032044735, 118.8022454484474 32.08095279871228, 118.8022454484474 32.08095279871228, 118.8023488163575 32.08110595479923, 118.8024054422323 32.08118678823792, 118.8024207223527 32.08120911099615, 118.8024890326317 32.08130764934326, 118.8024890326317 32.08130764934326, 118.8025339774881 32.08138302962077, 118.8025645310744 32.08141237731193, 118.8025645310744 32.08141237731193, 118.8025393927189 32.08144657984057, 118.8023957444713 32.08164498504033, 118.8026168349943 32.08190632586222, 118.8026175607175 32.08190639002643)"
118.7973432,32.08333732,118.8021314,32.08150496,966,495.5926803,4,1,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7974331317529 32.08337701842193, 118.7984283475227 32.08281771221404, 118.7984669997125 32.08279342627067, 118.7985829535857 32.08271904703019, 118.7986836247019 32.08265531067091, 118.7988804649303 32.08252784280573, 118.7990027028984 32.0824566060246, 118.7994691590125 32.08219614958487, 118.7996264280039 32.08210148288943, 118.8000460916226 32.08186471348571, 118.8001898663341 32.08178763948784, 118.8003992258283 32.08166513590586, 118.8009221408194 32.08137741811503, 118.8011350606538 32.08125355751287, 118.8012913754399 32.08116295898393, 118.8017252614632 32.08092544067271, 118.801837542914 32.08086057352511, 118.8020944349661 32.0807181446952, 118.8026539790493 32.08040557709636, 118.8030060169143 32.08020608645751, 118.8032287233869 32.08008579138465, 118.8033535398724 32.08001125498219, 118.803414600625 32.0799766566479, 118.8035026001913 32.07993161573673, 118.8036257107714 32.0801485878687, 118.8036257107714 32.0801485878687, 118.8035610587022 32.08017701843018, 118.8033832640038 32.0802640201964, 118.8033536318843 32.0802813285453, 118.8031713493819 32.08039892377156, 118.803057312722 32.08048811912581, 118.8030240883209 32.08051228806116, 118.8029064485781 32.08058233812179, 118.8028768138502 32.08060042432583, 118.802768147714 32.0806560361036, 118.8025292587657 32.08079387620019, 118.8023622090104 32.08089032044735, 118.8022454484474 32.08095279871228, 118.8022454484474 32.08095279871228, 118.8023488163575 32.08110595479923, 118.8024054422323 32.08118678823792, 118.8024054422323 32.08118678823792, 118.8022895766215 32.0812354982793, 118.8020354026358 32.08139779597448, 118.8021306746056 32.0815049575738, 118.8021313836614 32.08150496002251)"
118.7973432,32.08333732,118.8033914,32.08169359,985,599.3625535,6,1,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7974331317529 32.08337701842193, 118.7984283475227 32.08281771221404, 118.7984669997125 32.08279342627067, 118.7985829535857 32.08271904703019, 118.7986836247019 32.08265531067091, 118.7988804649303 32.08252784280573, 118.7990027028984 32.0824566060246, 118.7994691590125 32.08219614958487, 118.7996264280039 32.08210148288943, 118.8000460916226 32.08186471348571, 118.8001898663341 32.08178763948784, 118.8003992258283 32.08166513590586, 118.8009221408194 32.08137741811503, 118.8011350606538 32.08125355751287, 118.8012913754399 32.08116295898393, 118.8017252614632 32.08092544067271, 118.801837542914 32.08086057352511, 118.8020944349661 32.0807181446952, 118.8026539790493 32.08040557709636, 118.8030060169143 32.08020608645751, 118.8032287233869 32.08008579138465, 118.8033535398724 32.08001125498219, 118.803414600625 32.0799766566479, 118.8035026001913 32.07993161573673, 118.8036257107714 32.0801485878687, 118.8036257107714 32.0801485878687, 118.8037442371739 32.08009621983036, 118.8037442371739 32.08009621983036, 118.803767590908 32.08010946160512, 118.8037909445202 32.08012270386445, 118.803816093588 32.08013443464971, 118.8038421408021 32.08014694019895, 118.8038708817126 32.08015870870193, 118.8039059096492 32.08017360245762, 118.8039301595548 32.08018379645065, 118.8039714720692 32.08019569627992, 118.8040253572476 32.08021078762734, 118.8040253572476 32.08021078762734, 118.8040217768451 32.08024441412541, 118.804019089983 32.08026504352019, 118.8039993899037 32.08042474186261, 118.8039940731801 32.08062360754339, 118.8039716565597 32.0807151864672, 118.8039869846221 32.08088213120529, 118.8040033150236 32.08131380382674, 118.8040033150236 32.08131380382674, 118.8038785159143 32.08137526165356, 118.8038479997052 32.08141703044967, 118.8038354441155 32.08145898226881, 118.8038318776194 32.08152244764159, 118.8038337089036 32.08160892018302, 118.8038337089036 32.08160892018302, 118.8036558949858 32.08160865953539, 118.8033891610104 32.08160832144755, 118.8033909921991 32.08169326312257, 118.8033913786248 32.08169359096709)"
118.7973432,32.08333732,118.8009585,32.08226478,909,361.4254872,4,2,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7961418331668 32.08415906398297, 118.7954861608249 32.08457899333546, 118.7954115072895 32.0846339206607, 118.7955933889879 32.08486078125003, 118.7955933889879 32.08486078125003, 118.7957085253421 32.0848021376525, 118.7958686234322 32.08470536638941, 118.7961600161572 32.08451640878498, 118.796637540915 32.08421719650099, 118.7973910387717 32.08373337526607, 118.797516909635 32.083653559217, 118.7975402843113 32.08363682524715, 118.7975546661875 32.08362158406957, 118.7975672474158 32.08360251008096, 118.7975977955478 32.08354372825391, 118.7980796673855 32.08325210075608, 118.7985417119836 32.08297207451758, 118.798875173934 32.08275351262778, 118.799010920115 32.08273284661744, 118.7990423822536 32.08272460856305, 118.7990648542984 32.08271708536267, 118.799085526441 32.08270572696794, 118.7993560517385 32.08255429086964, 118.7995690440226 32.0824324067827, 118.7996328513385 32.08239913939396, 118.8003041107965 32.08202559471415, 118.8003041107965 32.08202559471415, 118.8004560862783 32.08222939835218, 118.8005657086676 32.08218273967678, 118.8006303994476 32.08214800946719, 118.8008882475055 32.08199228983401, 118.8008882475055 32.08199228983401, 118.801022213473 32.08215855241976, 118.8009575598442 32.08226441133946, 118.8009584563071 32.08226477745661)"
118.7973432,32.08333732,118.8027954,32.0815819,980,550.2916297,4,1,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7974331317529 32.08337701842193, 118.7984283475227 32.08281771221404, 118.7984669997125 32.08279342627067, 118.7985829535857 32.08271904703019, 118.7986836247019 32.08265531067091, 118.7988804649303 32.08252784280573, 118.7990027028984 32.0824566060246, 118.7994691590125 32.08219614958487, 118.7996264280039 32.08210148288943, 118.8000460916226 32.08186471348571, 118.8001898663341 32.08178763948784, 118.8003992258283 32.08166513590586, 118.8009221408194 32.08137741811503, 118.8011350606538 32.08125355751287, 118.8012913754399 32.08116295898393, 118.8017252614632 32.08092544067271, 118.801837542914 32.08086057352511, 118.8020944349661 32.0807181446952, 118.8026539790493 32.08040557709636, 118.8030060169143 32.08020608645751, 118.8032287233869 32.08008579138465, 118.8033535398724 32.08001125498219, 118.803414600625 32.0799766566479, 118.8035026001913 32.07993161573673, 118.8036257107714 32.0801485878687, 118.8036257107714 32.0801485878687, 118.8035610587022 32.08017701843018, 118.8033832640038 32.0802640201964, 118.8033536318843 32.0802813285453, 118.8031713493819 32.08039892377156, 118.803057312722 32.08048811912581, 118.8030240883209 32.08051228806116, 118.8029064485781 32.08058233812179, 118.8028768138502 32.08060042432583, 118.802768147714 32.0806560361036, 118.8025292587657 32.08079387620019, 118.8023622090104 32.08089032044735, 118.8022454484474 32.08095279871228, 118.8022454484474 32.08095279871228, 118.8023488163575 32.08110595479923, 118.8024054422323 32.08118678823792, 118.8024207223527 32.08120911099615, 118.8024890326317 32.08130764934326, 118.8024890326317 32.08130764934326, 118.8025339774881 32.08138302962077, 118.8025645310744 32.08141237731193, 118.8025645310744 32.08141237731193, 118.8026795263614 32.08145243781504, 118.8028295544172 32.08150354487783, 118.802794554803 32.08158125994064, 118.802795416232 32.08158190137573)"
118.7973432,32.08333732,118.7998905,32.08351776,747,241.3120277,7,2,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7961418331668 32.08415906398297, 118.7954861608249 32.08457899333546, 118.7954115072895 32.0846339206607, 118.7955933889879 32.08486078125003, 118.7955933889879 32.08486078125003, 118.7957085253421 32.0848021376525, 118.7958686234322 32.08470536638941, 118.7961600161572 32.08451640878498, 118.796637540915 32.08421719650099, 118.796637540915 32.08421719650099, 118.7968427615641 32.08446195675089, 118.7968427615641 32.08446195675089, 118.7968733370341 32.0844482929859, 118.7968967172078 32.08443613466185, 118.7970900506534 32.08433967620972, 118.7971206235538 32.08432448975035, 118.7976034699303 32.08409002087119, 118.7976592123929 32.08405965652736, 118.7981312217069 32.08385140472843, 118.798204061107 32.08385787598323, 118.798204061107 32.08385787598323, 118.7986894953868 32.08364612234672, 118.7989357830638 32.08352964054806, 118.7989357830638 32.08352964054806, 118.7990014642761 32.08363252898258, 118.7990176537774 32.08364639168208, 118.7990419294694 32.08365035437033, 118.7990769828834 32.08363372182134, 118.7991623745984 32.08360590416757, 118.7992621540263 32.0835896543195, 118.799361031772 32.08357264365195, 118.7994599072051 32.08355564243719, 118.7996073036744 32.08350299225992, 118.7996073036744 32.08350299225992, 118.7997170220628 32.08361079126647, 118.7998419537554 32.08358940103541, 118.799906664006 32.08357604836279, 118.7998904555112 32.0835170318479, 118.7998905388616 32.08351775898534)"
118.7973432,32.08333732,118.7990234,32.08437882,656,196.2043518,4,1,"LINESTRING (118.7973431567996 32.08333732288686, 118.7973422747639 32.08333686649716, 118.7972901153691 32.08334813533676, 118.7973171402019 32.08343546179829, 118.7973171402019 32.08343546179829, 118.7961418331668 32.08415906398297, 118.7954861608249 32.08457899333546, 118.7954115072895 32.0846339206607, 118.7955933889879 32.08486078125003, 118.7955933889879 32.08486078125003, 118.7957085253421 32.0848021376525, 118.7958686234322 32.08470536638941, 118.7961600161572 32.08451640878498, 118.796637540915 32.08421719650099, 118.796637540915 32.08421719650099, 118.7968427615641 32.08446195675089, 118.7970812760833 32.08474666694723, 118.7972666804962 32.08496848662062, 118.7974179016745 32.08518867009959, 118.7974179016745 32.08518867009959, 118.797556369378 32.0851295675043, 118.7981318106188 32.08495389012727, 118.7982127649176 32.08499941991296, 118.7984105833652 32.08499733954856, 118.7988007182917 32.0848501934928, 118.7990225279169 32.08437860203288, 118.7990233747729 32.08437881996063)"
